"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
168610896491236_2550063141679321,https://www.facebook.com/manudglom/posts/2550063141679321,"ผู้อ่านหรือคุณพ่อคุณแม่มือใหม่ท่านไหนที่ซื้อของเล่นให้ลูกหลานอายุขวบกว่าๆแบบมนุดกลม ตอนนี้ผมมาโชว์วิธีการเลือกซื้อของเล่นที่ใช้และผลลัพธ์ที่น่าทึ่ง กับตอนที่มีชื่อเล่นว่า
#ซื้อของเล่นให้ลูกยังไงให้เสียเงินฟรี 555555+ 

พร้อมของแถมที่คุณคาดไม่ถึงท้ายตอนนนนน",Photo,,,"06/23/2019 03:59:32 AM"," ",34179,21296,13813,53359,34780,18579,7186,7016,9879,2,4,32853,17113,6720,3880,4365,0,0,0,0,0,0,0,0,0,0,70,571,71,71,600,128,1162,6868,118,2865,6895,119,,4,,,2,
168610896491236_2549762581709377,https://www.facebook.com/manudglom/posts/2549762581709377,"ผมเชยสินะเพิ่งรู้ว่ามีมิกกี้เมาส์ซี่รี่ส์ใหม่
และตอนล่าสุดคือความอลเวงในตลาดน้ำในไทย 
งานดีมากๆครับ ฉากและบรรยากาศละเอียด พากย์ไทยเข้ามากๆ ผมชอบเว่ออออ
โดยเฉพาะชิปแอ่นด์เดล แย่งซีนมาก 555",Link,,,"06/22/2019 11:19:58 PM"," ",9308,9308,0,17470,17470,0,1466,1299,1924,1,1,16516,8890,0,0,1360,0,0,0,0,0,0,0,0,0,0,38,260,18,39,261,28,1044,3,515,1372,3,549,,1,,,1,
168610896491236_2544548455564123,https://www.facebook.com/manudglom/posts/2544548455564123,"ดูดๆฝุ่นอยู่ บินควงสว่านแน่นอน",Photo,,,"06/20/2019 06:08:11 AM"," ",5684,5684,0,7782,7782,0,448,401,582,1,1,7500,5494,0,0,438,0,0,0,0,0,0,0,0,0,0,,85,12,9,87,15,242,261,10,311,261,10,,1,,,1,
168610896491236_2494324513919851,https://www.facebook.com/manudglom/posts/2494324513919851,อัพเดทข่าวบ้านการเมืองแบบเข้าใจง่ายกันครับ,SharedVideo,,,"05/25/2019 08:44:32 PM"," ",8604,8604,0,13301,13301,0,1691,1637,2509,0,0,12977,8473,0,0,1661,0,0,0,0,2514,2603,0,0,0,122387,,179,6,,179,6,1637,,,2509,,,,,,,,
168610896491236_2482132891805680,https://www.facebook.com/manudglom/posts/2482132891805680,"วันหยุดแบบนี้พ่อลูกอ่อนต้องเล่นกับลูกสิครัช
รีวิววิธีเล่นกับลูกแบบง่ายๆอีกวิธี ไปดูกัลลลล์

อ่านย้อนทุกตอนที่
https://manudglom.com

อย่าลืม like page กันไว้อ่านตอนใหม่
ด้วยนะจ๊ะ กราบส์",Photo,,,"05/20/2019 02:37:09 AM"," ",17861,17861,0,32486,32486,0,4408,4315,6622,3,4,25755,13538,0,0,3893,0,0,0,0,0,0,0,0,0,0,41,600,44,43,601,91,1105,4243,17,2217,4388,17,1,3,,1,2,
168610896491236_2455230717829231,https://www.facebook.com/manudglom/posts/2455230717829231,"หมดปัญหาการเฝ้าลูกนอน 
ไปนั่งเล่นเกมส์ได้สบายๆ

อ่านย้อนทุกตอนที่
https://manudglom.com",Photo,,,"05/04/2019 08:30:17 PM"," ",11332,11332,0,16521,16521,0,1691,1480,1699,1,1,15695,10715,0,0,1650,0,0,0,0,0,0,0,0,0,0,4,385,22,4,393,35,1061,571,20,1117,562,20,1,,,1,,
168610896491236_2424660327552937,https://www.facebook.com/manudglom/posts/2424660327552937,"บันทึกสภาพอากาศวันสงกรานต์ปีนี้ ตอน 2

อ่านทุกตอนยาวๆที่
https://manudglom.com",Photo,,,"04/17/2019 01:07:03 AM"," ",9576,9576,0,13471,13471,0,1090,936,1208,3,3,12269,8806,0,0,1034,0,0,0,0,0,0,0,0,0,0,6,243,29,6,246,56,642,377,59,763,387,58,2,,1,2,,1
168610896491236_2423141444371492,https://www.facebook.com/manudglom/posts/2423141444371492,"บันทึกสภาพอากาศสงกรานต์ปีนี้

อ่านทุกตอนยาวๆที่
https://manudglom.com",Photo,,,"04/16/2019 03:17:34 AM"," ",14947,14947,0,21139,21139,0,1763,1450,1814,3,3,17933,12753,0,0,1617,0,0,0,0,0,0,0,0,0,0,24,475,35,25,499,59,1054,564,46,1201,567,46,1,2,,1,2,
168610896491236_2418729968145973,https://www.facebook.com/manudglom/posts/2418729968145973,"สุขสันต์วันสงกรานต์สไตล์พ่อลูกอ่อน

อ่านการ์ตูนชีวิตพ่อลูกอ่อน
และการเล่นกับลูกได้ยาวๆที่
https://manudglom.com จ้า",Photo,,,"04/13/2019 10:30:23 PM"," ",11718,11718,0,16617,16617,0,1131,904,1090,0,0,15325,10754,0,0,1088,0,0,0,0,0,0,0,0,0,0,6,314,18,6,321,25,717,252,15,823,252,15,,,,,,
168610896491236_2392411230777847,https://www.facebook.com/manudglom/posts/2392411230777847,"วิธีคุยกับภรรยาอย่างไม่จำเจ

อย่าลืมไปอ่านทุกตอนแบบยาวๆที่
https://manudglom.com",Photo,,,"03/28/2019 05:30:16 PM"," ",37227,37227,0,57241,57241,0,4434,3423,4472,2,2,28076,17441,0,0,3067,0,0,0,0,0,0,0,0,0,0,164,1623,101,165,1710,161,2598,1171,78,3164,1228,80,1,1,,1,1,
168610896491236_2384501014902202,https://www.facebook.com/manudglom/posts/2384501014902202,"ที่ศูนย์ฯบ้านมนุดกลมแดดร้อนเต๊นท์ไม่พอ
พกร่มไปกันด้วยก้ดีครับผม",Photo,,,"03/23/2019 05:00:48 PM"," ",6463,6463,0,9292,9292,0,473,292,335,0,0,8355,5872,0,0,444,0,0,0,0,0,0,0,0,0,0,7,224,7,7,231,7,254,50,,283,52,,,,,,,
